LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
https://www.sgcarmart.com/used_cars/info.php?ID=853186&DL=1220,Toyota,68600.0,8940.0,14-Mar-2017,33300.0,2016,,Auto,41441.0,23/10/2019,24181.0,5000.0,50991.0,2683.0,1497,1120.0,1.0,Hatchback
https://www.sgcarmart.com/used_cars/info.php?ID=862184&DL=2689,Porsche,186777.0,26560.0,01-Aug-2014,52000.0,2013,3322.0,Auto,114951.0,23/10/2019,82151.0,119872.0,65001.0,1738.0,3598,2105.0,1.0,SUV
https://www.sgcarmart.com/used_cars/info.php?ID=845561&DL=2469,Toyota,96800.0,11090.0,12-Jan-2017,26000.0,2016,1792.0,Auto,61973.0,23/10/2019,29570.0,33398.0,51109.0,2624.0,2494,1475.0,1.0,Luxury Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=833384&DL=1137,Hyundai,28800.0,6250.0,10-Jul-2009,,2009,738.0,Auto,12850.0,23/10/2019,11177.0,11177.0,13943.0,1678.0,1591,1264.0,3.0,Mid-Sized Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=839947&DL=3043,Jaguar,123800.0,13990.0,07-Jul-2016,42300.0,2016,1212.0,Auto,83144.0,23/10/2019,48484.0,59878.0,57010.0,2433.0,1999,1660.0,1.0,Luxury Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=844071&DL=3518,Toyota,65800.0,8570.0,04-May-2016,60500.0,2015,742.0,Auto,45586.0,23/10/2019,19589.0,19589.0,47300.0,2370.0,1598,1205.0,1.0,Mid-Sized Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=860589&DL=2290,Mercedes-Benz,117999.0,11070.0,21-Mar-2019,3800.0,2018,740.0,Auto,45417.0,23/10/2019,25381.0,27534.0,26309.0,3410.0,1595,1435.0,1.0,SUV
https://www.sgcarmart.com/used_cars/info.php?ID=856512&DL=1010,Toyota,83800.0,9980.0,15-Dec-2017,39900.0,2017,,Auto,43675.0,23/10/2019,27477.0,5000.0,49000.0,2951.0,1797,1440.0,1.0,SUV
https://www.sgcarmart.com/used_cars/info.php?ID=856008&DL=2792,Toyota,40888.0,8170.0,13-Nov-2009,126335.0,2009,974.0,Auto,,23/10/2019,22156.0,22156.0,,1825.0,1797,1340.0,2.0,MPV
https://www.sgcarmart.com/used_cars/info.php?ID=852746&DL=1240,Honda,70800.0,9500.0,13-Dec-2016,45028.0,2016,,Auto,42261.0,23/10/2019,31338.0,5874.0,53001.0,2594.0,1496,1280.0,1.0,SUV
